Hacked target, DeFi Exploit Name,Description, Amount of loss, Attack method, Time, Source,,,,,,
PEPG,,"Pepega ($PEPG) has Rugged 30 ETH ($55,609.2). The scammer initially received 3.58 ETH from Binance and added 2.8 ETH to liquidity.","55,609.2",Rug Pull,2023-05-09,https://etherscan.io/address/0xd0ede373762fa3bc58f02c5f2b61117d1976ad57,,,,,,
MChainCapital,,"MChainCapital suffered a flash loan attack and lost about $18,871. TX: https://etherscan.io/tx/0xf72f1d10fc6923f87279ce6c0aef46e372c6652a696f280b0465a301a92f2e26","18,871",Flash Loan Attack,2023-05-09,https://twitter.com/NumenAlert/status/1655851512445403138,,,,,,
YODA,,"YODA coin project happened Rug Pull, YODA token price fell 100%, @yodacoineth_ has deleted his social account/group. Scammers have transferred 68 ETH (~$130,000) to FixedFloat.","130,000",Rug Pull,2023-05-05,https://etherscan.io/tx/0x202addc74544531172ce2b5b8e8a1395672aa56603e9b6358a1c92b336d839fd,,,,,,
WSB Coin,,"A Rug Pull on the meme coin project WSB Coin, again involving an address on-chain marked “ZJZ.eth,” dumped most of the WSB team’s supply for $635,000 (334 ETH).","635,000",Rug Pull,2023-05-04,https://twitter.com/zachxbt/status/1653937194388664322,,,,,,
Ordinals Finance,,"Ordinals Finance has been identified as an exit scam project that caused $1 million in losses. The deployer withdraws OFI tokens from the OEBStaking contract, exchanges them for ETH and transfers them to the EOA address (0x34e...25cCF), which in turn transfers 550 ETH (approximately $1 million) to Tornado Cash. All social media accounts and websites of the project have been deleted.","1,000,000",Rug Pull,2023-04-25,https://twitter.com/MistTrack_io/status/1650871282353963014,,,,,,
KyberSwap,,"KyberSwap, a DEX aggregator and liquidity platform, tweeted that they discovered a potential loophole in KyberSwap Elastic, and hoped that liquidity providers could extract liquidity as soon as possible. No user assets have been lost so far.",-,Contract Vulnerability,2023-04-17,https://twitter.com/KyberNetwork/status/1647920799557505028,,,,,,
SyncDex,,"Zksync era mainnet SyncDex project has exited with a rugpull, resulting in over $370,000 USD in losses.","370,000",Rug Pull,2023-04-13,https://www.odaily.news/newsflash/319781?source=share,,,,,,
Yearn Finance,,"The decentralized revenue aggregation platform Yearn Finance was attacked, and the hackers made more than $10 million in profits. According to the analysis of SlowMist, the reason for this attack is that the attacker used the yUSDT contract to set the fulcrum address by mistake, thereby manipulating the stablecoin reserve balance in the yUSDT contract, and depositing USDT in yUSDT to obtain a large amount of unexpected yUSDT Tokens for profit.","10,000,000",Contract Vulnerability,2023-04-13,https://twitter.com/yearnfi/status/1646436798086672385,,,,,,
SushiSwap,,"SUSHI RouteProcessor2 was attacked and lost about 1800 ETH, about $3.34 million. According to the analysis of SlowMist, the root cause is that ProcessRoute does not perform any checks on the route parameters passed in by the user, which leads the attacker to use this problem to construct a malicious route parameter so that the Pool read by the contract is created by the attacker. On April 19, SushiSwap released a postmortem analysis report stating that due to 18 replayed transactions, the 1,800 WETH initially depleted from the first user’s wallet ended up in multiple wallets. A total of 885 ETH have been refunded so far. Of these, approximately 685 ETH were sent to Sushi core contributors to operate the multisig, 190 ETH were sent to affected users, and 10 ETH were sent to the Sushi rescue contract.","3,340,000",Unchecked Input Data,2023-04-09,https://twitter.com/SlowMist_Team/status/1644936375924584449,,,,,,
zkSync,,"According to official news, the zkSync team announced the cause of the downtime on Twitter. Block generation stopped due to a block queue database failure. Despite this, the server API was not affected. Transactions continue to be added to the mempool, and queries are served normally. Although all components had comprehensive monitoring, logging, and alerting, no alerts were triggered because the API was functioning properly.",-,Downtime,2023-04-02,https://twitter.com/zksync/status/1642277369632227334,,,,,,
EC token,,"EC token deployer addresses withdrew approximately $43,800 from the liquidity pool.","43,800",Rug Pull,2023-03-26,https://twitter.com/unsnarl_secure/status/1639510645384290305,,,,,,
Kokomo Finance,,Kokomo Finance conducted an exit scam and stole ~$4 million in user funds.,"4,000,000",Rug Pull,2023-03-26,https://www.panewslab.com/zh/articledetails/ym50p7sf.html,,,,,,
Swerve Finance,,Defunct Swerve Finance still subject of $1.3 million live governance hack,"1,300,000",Governance Attack,2023-03-25,https://www.chaincatcher.com/article/2089961,,,,,,
Indexed Finance,,"Indexed Finance's ORCL5 Token contract was attacked by a flash loan and lost $9,925. Root cause preliminary analysis is that ""calcSingleOutGivenPoolIn()"" calculates wrong value of tokenAmountOut.","9,925",Flash Loan Attack,2023-03-21,https://twitter.com/AnciliaInc/status/1637925297327865856,,,,,,
Poolz Finance,,"Poolz Finance's LockedDeal contract was hacked and lost about $500,000. The attacker called the vulnerable function CreateMassPools in the LockedDeal contract, and triggered an integer overflow vulnerability in the parameter _StartAmount. In addition to obtaining a large number of poolz tokens, the attacker also obtained other tokens.","500,000",Contract Vulnerability,2023-03-15,https://twitter.com/Poolz__/status/1635899850918178817,,,,,,
Yearn Finance,,"Yearn Finance tweeted: “While there is no direct exposure to Euler, some vaults are indirectly exposed to the hack. Vaults using the Idle and Angle strategies have a combined exposure of $1.38 million on yvUSDT and yvUSDC. The developers are currently actively working on the affected protocol, any remaining bad debt will be borne by the Yearn Treasury, and all vaults will remain open and fully operational for users as usual."" On May 3, Yearn Finance tweeted that all funds impacted by the march Euler hack have now been recovered. The affected vaults were yvUSDC & yvUSDT, with these strategies having indirect exposure: Idle Finance v4 [Best yield] and Angle Standard LP.","1,380,000",Affected by Euler Finance Attack,2023-03-14,https://twitter.com/iearnfinance/status/1635312188712792065,,,,,,
Idle Finance,,"The DeFi protocol Idle Finance tweeted that after investigation, the estimated exposure of the Euler Finance vulnerability to the protocol Yield Tranches was $5.6628 million, and the estimated exposure of Best Yield vaults was about $5.3271 million, for a total of about $10.99 million.","10,990,000",Affected by Euler Finance Attack,2023-03-14,https://twitter.com/idlefinance/status/1635356439849099264,,,,,,
Yield Protocol,,"Yield Protocol, a fixed-rate lending agreement, posted an update on Twitter saying: ""All collateral deposited by borrowers on Yield Protocol appears to be safe. Collateral is not deposited into Euler, but is kept in Yield Protocol. Euler hack Affected our mainnet liquidity pool. The Yield liquidity pool holds two assets: Euler eTokens and Yield fyTokens. We do not yet have exact figures for the value of eTokens held prior to the attack, but believe the total value is less than $1.5 million. "" On April 25, Yield Protocol tweeted that ""we have successfully claimed the recovered funds from Euler. The funds are being held in the timelock. We are now taking the steps to restart Yield Protocol and to enable withdraws. We expect this complicated process to take several weeks to complete.""","1,500,000",Affected by Euler Finance Attack,2023-03-14,https://twitter.com/yield/status/1635339497067130881,,,,,,
Harvest,,"Harvest said that USDC, USDT, and WETH Vault were affected because of the use of Idle. Currently Harvest has not explained how to deal with it, and reminds users not to interact with these vaults until the problem is resolved.",-,Affected by Euler Finance Attack,2023-03-14,https://twitter.com/harvest_finance/status/1635326911428833280,,,,,,
Sherlock,,"Sherlock is a DeFi security provider that provides smart contract auditing and insurance services. When Euler first launched, it entered into a $10 million partnership with Sherlock, who was responsible for auditing Euler's smart contracts and providing insurance for Euler. After Euler was attacked, Sherlock has passed a vote to pay Euler $4.5 million.","4,500,000",Affected by Euler Finance Attack,2023-03-14,https://twitter.com/sherlockdefi/status/1635366485123268610,,,,,,
Sense Finance,,"Sense Finance is a fixed-rate lending protocol in which fixed-income assets such as Idle can be traded, which was indirectly affected by the Euler attack.",-,Affected by Euler Finance Attack,2023-03-14,https://www.panewslab.com/zh/articledetails/v0dusvai.html,,,,,,
Euler Finance,,"The DeFi lending protocol Euler Finance was attacked, and the attackers made a profit of about 197 million US dollars. The attacker used flashloans to deposit funds and then leveraged them twice to trigger the liquidation logic, donating the funds to the reserve address and conducting a self-liquidation to collect any remaining assets. Two key factors contributed to the success of the attack: 1. Funds were donated to the reserved address without being subjected to a liquidity check. This created a mechanism that could directly trigger soft liquidation. 2. When the soft liquidation logic was triggered by high leverage, the yield value increased, enabling the liquidator to obtain most of the collateral funds from the liquidated user's account by transferring only a portion of the liabilities to themselves. Given that the value of the collateral funds exceeded the value of the liabilities (which were only partially transferred due to the soft liquidation), the liquidator was able to successfully pass their health factor check (checkLiquidity) and withdraw the obtained funds. On April 4th, Euler Labs tweeted that after a successful negotiation, the attacker has returned all the funds stolen from the agreement on March 13th, because the attacker has returned the funds, the $1 million reward campaign launched by the foundation No new information will be accepted.","197,000,000",Flash Loan Attack,2023-03-13,https://twitter.com/SlowMist_Team/status/1635288963580825606,,,,,,
Balancer,,"The decentralized exchange Balancer disclosed on Twitter that in the Euler Finance attack, about $11.9 million was sent to Euler from the bbeUSD liquidity pool, accounting for 65% of the liquidity pool TVL, and bbeUSD was also deposited The other 4 liquidity pools: wstETH/bbeUSD, rETH/bbeUSD, TEMPLE/bbeUSD, DOLA/bbeUSD, all other Balancer liquidity pools are safe.","11,900,000",Affected by Euler Finance Attack,2023-03-13,https://twitter.com/Balancer/status/1635296206221090817,,,,,,
Angle Protocol,,"Angle Protocol, a decentralized stablecoin protocol, tweeted: ""Angle Protocol was affected by the Euler exploit, which deposited 17.6 million USDC into Euler. The protocol has been suspended, the debt ceiling has been set to 0, and the Euler AMO has been closed .are monitoring the situation and will update as soon as they are received.” Angle Protocol stated that before the Euler hack, the total value locked (TVL) of the Angle Core module was about 36 million US dollars, and 17.2 million agEUR had passed through the core. Module casting. In addition, in the agreement are: about 11.6 million US dollars in deposits from standard liquidity providers, about 353,000 US dollars in deposits from hedging agents, and a surplus of about 5.58 million yuan.","17,600,000",Affected by Euler Finance Attack,2023-03-13,https://twitter.com/AngleProtocol/status/1635293731082612738,,,,,,
Inverse Finance,,"Inverse Finance, a DeFi lending protocol, tweeted: “Euler attack impacted DOLA-bb-e-USD pool on Balancer. Despite quick action to mitigate 90% of the impact, DOLA Fed suffered up to 86% for this pool. million in losses, excluding rewards points. Will be working with Balancer to recover the remaining funds.”","860,000",Affected by Euler Finance Attack,2023-03-13,https://twitter.com/InverseFinance/status/1635280206171885572,,,,,,
SwissBorg,,"SwissBorg is a crypto asset management platform that is regulated and licensed in Switzerland, France and Estonia. It has its own SwissBorg app and can earn money through this mobile wallet. SwissBorg stated that the ETH and USDT in the Earn strategy suffered partial losses, including 1617.23 ETH and about 1.69 million USDT, accounting for 2.27% and 29.52% of the subscription funds respectively. SwissBorg will bear all losses.","4,500,000",Affected by Euler Finance Attack,2023-03-13,https://twitter.com/swissborg/status/1635250132370477056,,,,,,
